iter	Logloss
0	0.6712668327
1	0.6518553239
2	0.6332914028
3	0.615922946
4	0.6005385654
5	0.5869314324
6	0.5743195362
7	0.5624769064
8	0.551640129
9	0.5413431957
10	0.53278957
11	0.5250673659
12	0.5173384224
13	0.5107941893
14	0.5047728862
15	0.4990865672
16	0.4932825256
17	0.4886631511
18	0.4842889935
19	0.47995085
20	0.475859682
21	0.4721139132
22	0.4689733025
23	0.4657402868
24	0.4630096563
25	0.4604256353
26	0.4579239368
27	0.4557124508
28	0.453599418
29	0.4516756402
30	0.4499783742
31	0.4484503988
32	0.446939698
33	0.4455232383
34	0.4442942933
35	0.443056943
36	0.4420939609
37	0.4410986857
38	0.4400652154
39	0.4392626849
40	0.4384156191
41	0.4376278886
42	0.4368729237
43	0.4360775389
44	0.4353241051
45	0.434844306
46	0.4341917098
47	0.43370189
48	0.4331309967
49	0.432711419
50	0.4323381044
51	0.4319156134
52	0.4314062944
53	0.4309693615
54	0.4305444198
55	0.4301816227
56	0.429874276
57	0.4294230896
58	0.4290578023
59	0.4288137331
60	0.4284976872
61	0.4281549433
62	0.4278259243
63	0.4274816569
64	0.4272595916
65	0.4269535635
66	0.4267244361
67	0.4264932185
68	0.4262483729
69	0.4260456133
70	0.4257949087
71	0.425610294
72	0.4253937843
73	0.4251861648
74	0.4250328007
75	0.4249158016
76	0.4247729173
77	0.4245924445
78	0.424433226
79	0.424182985
80	0.4240074321
81	0.4238742903
82	0.4237319967
83	0.4236128144
84	0.4234663715
85	0.4232755052
86	0.4231245427
87	0.4229654493
88	0.4227993268
89	0.4226024325
90	0.4224762707
91	0.422333772
92	0.4222270007
93	0.4221427004
94	0.4219275173
95	0.4218053352
96	0.4216897501
97	0.4215823358
98	0.4214675546
99	0.4213624441
100	0.4212812879
101	0.4211149724
102	0.4209985053
103	0.4208232956
104	0.4207097665
105	0.4206394811
106	0.4205184677
107	0.4204668756
108	0.4203735083
109	0.4202303768
110	0.4201093782
111	0.4200241928
112	0.419960558
113	0.4198678074
114	0.4197205285
115	0.4196641432
116	0.4195692074
117	0.4194335342
118	0.4193258361
119	0.4192258374
120	0.419092077
121	0.418956644
122	0.4188962093
123	0.4188116308
124	0.4187320004
125	0.4186312074
126	0.4184890876
127	0.4183999929
128	0.4182959164
129	0.4182258685
130	0.4181511506
131	0.418023527
132	0.4179640552
133	0.4178668642
134	0.4177389573
135	0.4176906098
136	0.4176225447
137	0.4175305882
138	0.4173917898
139	0.4173119794
140	0.4172465459
141	0.4171727081
142	0.4171011547
143	0.4170147103
144	0.4169210707
145	0.4168248298
146	0.4167518951
147	0.4166761864
148	0.4166333567
149	0.4165720667
150	0.4164851542
151	0.416358086
152	0.4162835105
153	0.4162026238
154	0.4161082724
155	0.4160023736
156	0.4159344003
157	0.4158445116
158	0.4157697033
159	0.4156655682
160	0.4156084488
161	0.4155650102
162	0.4154886198
163	0.415354663
164	0.4152874413
165	0.4152094296
166	0.4150868714
167	0.4149944998
168	0.4149099679
169	0.4148640954
170	0.4147978639
171	0.4147618032
172	0.4146634109
173	0.4145851056
174	0.4145138355
175	0.4144672044
176	0.414365748
177	0.4142538142
178	0.414202034
179	0.4141551873
180	0.4140680616
181	0.4140296982
182	0.4139244675
183	0.4138613033
184	0.4138154176
185	0.4137438816
186	0.4136842502
187	0.4135780453
188	0.4134995569
189	0.4133835756
190	0.4133053236
191	0.4131890352
192	0.4130956805
193	0.4130140052
194	0.4129592407
195	0.4128616127
196	0.4128077423
197	0.4126893071
198	0.4126483114
199	0.4125740868
200	0.4125100283
201	0.41240376
202	0.4123496563
203	0.412271591
204	0.4122042288
205	0.4121079849
206	0.4120631749
207	0.4119835694
208	0.4118431438
209	0.4117729829
210	0.4116914829
211	0.4116157134
212	0.4115840339
213	0.4114631363
214	0.4113700369
215	0.4113297873
216	0.4112414642
217	0.4111974756
218	0.4111560329
219	0.4110695918
220	0.411009262
221	0.4108789962
222	0.4108181947
223	0.4107705313
224	0.4107153937
225	0.4106460572
226	0.4106248035
227	0.4105776629
228	0.4104872524
229	0.410417951
230	0.4103556818
231	0.4103074525
232	0.4102708387
233	0.4102482422
234	0.4102128254
235	0.4101740241
236	0.410096196
237	0.4099527935
238	0.4098883839
239	0.4098177141
240	0.4097571909
241	0.4096772665
242	0.4096274785
243	0.4095771688
244	0.4095134367
245	0.4094062041
246	0.409378062
247	0.4093202981
248	0.4092874818
249	0.4092468703
250	0.4091244397
251	0.4090362136
252	0.4089590106
253	0.4088819469
254	0.4088419051
255	0.4087522277
256	0.4087092543
257	0.4086566552
258	0.4085650041
259	0.408501273
260	0.408420195
261	0.4083341448
262	0.4082832104
263	0.4082343277
264	0.4081724943
265	0.4080995323
266	0.4079698482
267	0.4079125719
268	0.407870365
269	0.4077867065
270	0.4077455467
271	0.4076629861
272	0.4076112299
273	0.4075407153
274	0.4074486608
275	0.4073940584
276	0.4073290088
277	0.4072775578
278	0.4072401371
279	0.4071662812
280	0.4070850571
281	0.4070164007
282	0.4069252803
283	0.4068884197
284	0.4068381295
285	0.4067430757
286	0.406646653
287	0.4065318719
288	0.4064558048
289	0.406391382
290	0.4063100889
291	0.406228642
292	0.4061782669
293	0.4060938967
294	0.4059320915
295	0.4058456691
296	0.4057690978
297	0.4056913648
298	0.4056336156
299	0.4055157829
300	0.4054612571
301	0.4053877627
302	0.4052945989
303	0.4052362557
304	0.4051924656
305	0.4051448256
306	0.4050542948
307	0.4049893793
308	0.404906718
309	0.4048266795
310	0.4047616495
311	0.4046769405
312	0.4045837876
313	0.4045034729
314	0.4044046282
315	0.4042952793
316	0.4042356603
317	0.4041292953
318	0.404084787
319	0.4040069979
320	0.4039368435
321	0.4038252539
322	0.4037508204
323	0.4036624618
324	0.4035806524
325	0.4035380374
326	0.4034459752
327	0.4033946038
328	0.4033442142
329	0.4032973768
330	0.4031350956
331	0.4030896391
332	0.4029732948
333	0.4029054666
334	0.4028419654
335	0.4027673395
336	0.4027289995
337	0.4026256562
338	0.4025371822
339	0.4024807886
340	0.402404547
341	0.4023264022
342	0.4022348887
343	0.4021578166
344	0.4021097117
345	0.4019964787
346	0.4018746202
347	0.401802863
348	0.4017155005
349	0.4016251299
350	0.4015432172
351	0.4015136975
352	0.4014530514
353	0.4013787841
354	0.4013256779
355	0.4012849824
356	0.401239216
357	0.4011373494
358	0.4010812157
359	0.4009951218
360	0.4008931946
361	0.4008233094
362	0.4007530673
363	0.4006891411
364	0.4006291357
365	0.4005689987
366	0.4004968269
367	0.4004028258
368	0.4003152886
369	0.4002118771
370	0.4001509414
371	0.4000667371
372	0.4000166584
373	0.3999570675
374	0.3998776442
375	0.3997868311
376	0.399696405
377	0.3996139041
378	0.3995752924
379	0.3995453989
380	0.3994812357
381	0.3994023304
382	0.3993669996
383	0.3993207021
384	0.3992536925
385	0.3991758334
386	0.3991070389
387	0.3990762122
388	0.3989718321
389	0.3989026311
390	0.3988136515
391	0.3987788958
392	0.3987005836
393	0.398630695
394	0.3985847313
395	0.3985052598
396	0.3984277561
397	0.3983586399
398	0.3982348131
399	0.3981831476
400	0.3981154787
401	0.3980489989
402	0.3980276118
403	0.3979328306
404	0.3978610672
405	0.3977910678
406	0.3977503187
407	0.3976396291
408	0.3975861338
409	0.3975382297
410	0.397480595
411	0.3974108796
412	0.3973711901
413	0.3972927853
414	0.3971806038
415	0.3971298834
416	0.3971023744
417	0.3970433862
418	0.396987317
419	0.3969528547
420	0.3968632386
421	0.3967748453
422	0.3967142935
423	0.3966699511
424	0.3965551418
425	0.3964562074
426	0.3963843235
427	0.3963327877
428	0.3962597841
429	0.3961881461
430	0.3961196717
431	0.3960686125
432	0.3960040924
433	0.3959358294
434	0.3958875682
435	0.395826214
436	0.3957705597
437	0.3956418822
438	0.3955999446
439	0.3955683566
440	0.3955369469
441	0.3954011882
442	0.3953292453
443	0.3952917263
444	0.3952522672
445	0.3951920778
446	0.3951228364
447	0.3950758662
448	0.3950417568
449	0.3949912269
450	0.3949034722
451	0.3948352027
452	0.3947748584
453	0.3947196896
454	0.3946265351
455	0.3945610073
456	0.3945006217
457	0.3944351278
458	0.3943902209
459	0.3943485358
460	0.394294888
461	0.3942238834
462	0.3941933463
463	0.3941509623
464	0.3940837883
465	0.3940522621
466	0.3940164175
467	0.3939679504
468	0.3939079662
469	0.3937901123
470	0.3937362574
471	0.3936878578
472	0.3936371906
473	0.3935616793
474	0.3934914241
475	0.3934226918
476	0.393348313
477	0.3932814705
478	0.3932668051
479	0.3932126166
480	0.3931537624
481	0.393039659
482	0.393029267
483	0.3930022153
484	0.3929422877
485	0.3928893627
486	0.3928426469
487	0.3927890049
488	0.3927426365
489	0.3926328675
490	0.3926308654
491	0.392569795
492	0.3924962501
493	0.3924234787
494	0.3923066537
495	0.3922528192
496	0.3922181903
497	0.3921638275
498	0.3921109859
499	0.3920248686
500	0.391967701
501	0.3919049732
502	0.3918271126
